Parish|Seat
Acadia|Crowley
Allen|Oberlin
Ascension|Donaldsonville
Assumption|Napoleonville
Avoyelles|Marksville
Beauregard|De Ridder
Bienville|Arcadia
Bossier|Benton
Caddo|Shreveport
Calcasieu|Lake Charles
Caldwell|Columbia
Cameron|Cameron
Catahoula|Harrisonburg
Claiborne|Homer
Concordia|Vidalia
De Soto|Mansfield
East Baton Rouge|Baton Rouge
East Carroll|Lake Providence
East Feliciana|Clinton
Evangeline|Ville Platte
Franklin|Winnsboro
Grant|Colfax
Iberia|New Iberia
Iberville|Plaquemine
Jackson|Jonesboro
Jefferson|Gretna
Jefferson Davis|Jennings
La Salle|Jena
Lafayette|Lafayette
Lafourche|Thibodaux
Lincoln|Ruston
Livingston|Livingston	
Madison|Tallulah
Morehouse|Bastrop
Natchitoches|Natchitoches
Orleans|New Orleans
Ouachita|Monroe
Plaquemines|Pointe a la Hache
Pointe Coupee|New Roads
Rapides|Alexandria
Red River|Coushatta
Richland|Rayville
Sabine|Many
St. Bernard|Chalmette
St. Charles|Hahnville
St. Helena|Greensburg
St. James|Convent
St. John the Baptist|Edgard
St. Landry|Opelousas
St. Martin|St. Martinville
St. Mary|Franklin
St. Tammany|Covington
Tangipahoa|Amite
Tensas|St. Joseph
Terrebonne|Houma
Union|Farmerville
Vermilion|Abbeville
Vernon|Leesville
Washington|Franklinton
Webster|Minden
West Baton Rouge|Port Allen
West Carroll|Oak Grove
West Feliciana|St. Francisville
Winn|Winnfield
